track,target,regime_type,regime,n,v10 best_rmse,Putirka_rmse,v10 best_rmse_lo,Putirka_rmse_lo,v10 best_rmse_hi,Putirka_rmse_hi,winner,Agreda_rmse,Jorgenson_rmse,Wang_rmse,Agreda_rmse_lo,Jorgenson_rmse_lo,Wang_rmse_lo,Agreda_rmse_hi,Jorgenson_rmse_hi,Wang_rmse_hi
opx_liq,P_kbar,P,shallow_crustal,47,2.6629062653698017,3.886363899698184,2.245034651820509,3.2362767013242566,3.134369485614376,4.472373397759273,v10 best,,,,,,,,,
opx_liq,P_kbar,P,deep_crustal_MASH,61,2.078945257682617,2.3144340490953392,1.6244064535190756,1.7219393601426578,2.5386432223967983,2.853335460477984,v10 best,,,,,,,,,
opx_liq,P_kbar,P,lithospheric_mantle,58,4.538469782286738,4.659726169083871,3.4873240531148664,3.2499625420326343,5.561096079489953,5.961467064571667,v10 best,,,,,,,,,
opx_liq,P_kbar,P,deeper_mantle,8,4.555771723826939,8.51948552579252,3.1942269969101567,4.437579382491557,5.745953368987946,11.13701342992704,v10 best,,,,,,,,,
opx_liq,P_kbar,P,P<5,47,2.6629062653698017,3.886363899698184,2.245034651820509,3.2362767013242566,3.134369485614376,4.472373397759273,v10 best,,,,,,,,,
opx_liq,P_kbar,P,5<=P<10,11,2.6121708431740767,2.394878423307824,2.0353702332464727,2.006508294238448,3.1555749746383546,2.697660388383276,Putirka,,,,,,,,,
opx_liq,P_kbar,P,10<=P<20,81,2.7618637224811984,3.440943382937641,2.253729574692134,2.5081382498461173,3.266430227566674,4.31791904703623,v10 best,,,,,,,,,
opx_liq,P_kbar,P,20<=P<40,32,5.246548148886835,3.723088610136876,3.670849978154438,2.926214060700071,6.850545042866724,4.531177330081437,Putirka,,,,,,,,,
opx_liq,P_kbar,P,P>=40,3,0.7658007904926019,12.792331678710104,0.4317506169051697,11.286118218621937,1.0137615212465931,13.788693562788415,v10 best,,,,,,,,,
opx_liq,P_kbar,P,P<20 (Agreda range),139,2.9733334309299018,3.5262866329495206,2.450955736531884,2.9988052152922844,3.4536348924786004,4.079841981694755,v10 best,,,,,,,,,
opx_liq,P_kbar,P,ALL,174,3.8156075924116495,4.750309233457235,3.095868179159089,3.813504194268678,4.491098147444123,5.748618806510647,v10 best,,,,,,,,,
opx_only,P_kbar,P,shallow_crustal,48,7.192438024464698,2.197173215181949,5.665352950361073,1.6926008808713655,8.757453742980598,2.7174502826109785,Putirka,,,,,,,,,
opx_only,P_kbar,P,deep_crustal_MASH,76,5.205024822393056,4.677560926435676,4.475533916868693,3.922691324687959,5.804116714009255,5.364072981212523,Putirka,,,,,,,,,
